"subject" "activity" "mean_activity" "sd_activity"
8 "SITTING" -0.637726458982249 0.0117799328671929
8 "STANDING" -0.639463722621354 0.0113683925266691
8 "LAYING" -0.627089533537997 0.0111673358974767
9 "WALKING" -0.37164660578822 0.00950771764237863
9 "WALKING_UPSTAIRS" -0.427075431896002 0.0107727357275071
9 "WALKING_DOWNSTAIRS" -0.313140747277053 0.00916358475833244
9 "SITTING" -0.627530823653232 0.0133714119143214
9 "STANDING" -0.633713631013694 0.0098878400845738
9 "LAYING" -0.628414047268328 0.0129910208837822
10 "WALKING" -0.327086776127028 0.00682521907592387
10 "WALKING_UPSTAIRS" -0.345652600356602 0.00795480697929748
10 "WALKING_DOWNSTAIRS" -0.263162073365728 0.0110765207269052
10 "SITTING" -0.640078551091241 0.0131843628291572
10 "STANDING" -0.630886542166037 0.010254547442202
10 "LAYING" -0.633606314208568 0.0135678852289599
11 "WALKING" -0.431366510871248 0.00565358373099719
11 "WALKING_UPSTAIRS" -0.43527506672087 0.00643279201018853
11 "WALKING_DOWNSTAIRS" -0.348717448293558 0.00736004106179797
11 "SITTING" -0.636081608692102 0.0128196849802714
11 "STANDING" -0.648374467923916 0.00979354752081638
11 "LAYING" -0.643553031373099 0.0135942418127746
12 "WALKING" -0.355560155447154 0.00808761735441824
12 "WALKING_UPSTAIRS" -0.42179157558609 0.00663784634446244
12 "WALKING_DOWNSTAIRS" -0.311490436338625 0.0160800012165565
12 "SITTING" -0.636301750626951 0.0100253201756229
12 "STANDING" -0.627684013763497 0.00981202849920048
12 "LAYING" -0.63012919397725 0.0114534994593766
13 "WALKING" -0.316988827925179 0.00781147042312876
13 "WALKING_UPSTAIRS" -0.411582073864772 0.00881565722130053
13 "WALKING_DOWNSTAIRS" -0.317234723087439 0.00804369995722546
13 "SITTING" -0.638179130162868 0.012023258764329
13 "STANDING" -0.639297749080434 0.0116596743667868
13 "LAYING" -0.624337936876007 0.0144088278824321
14 "WALKING" -0.385501824502105 0.00745380238539878
14 "WALKING_UPSTAIRS" -0.285486358859423 0.0143207577800294
14 "WALKING_DOWNSTAIRS" -0.203378373864087 0.016462635721844
14 "SITTING" -0.639930771868791 0.0118030699617859
14 "STANDING" -0.633771114374627 0.0136959096440608
14 "LAYING" -0.628355645282404 0.015597438484249
15 "WALKING" -0.390526282476396 0.00628895779122464
15 "WALKING_UPSTAIRS" -0.393720911542089 0.00846123647474577
15 "WALKING_DOWNSTAIRS" -0.280227328116279 0.00928345968591427
15 "SITTING" -0.641496217339585 0.0130124359812098
15 "STANDING" -0.640037091389994 0.0108180266604421
15 "LAYING" -0.639883147448173 0.0139473607975666
16 "WALKING" -0.431362808379042 0.00604065386914756
16 "WALKING_UPSTAIRS" -0.440146451770759 0.0102887044727335
16 "WALKING_DOWNSTAIRS" -0.339080301791712 0.00868417764004349
16 "SITTING" -0.642254023210701 0.0120450655227417
16 "STANDING" -0.646538416475197 0.0137398649352728
16 "LAYING" -0.635906117499551 0.0101269267037235
17 "WALKING" -0.387039462708526 0.00756913145232258
17 "WALKING_UPSTAIRS" -0.401431355861112 0.00914861778966067
17 "WALKING_DOWNSTAIRS" -0.365194496888334 0.00800566160150405
17 "SITTING" -0.643707360983648 0.0110660837262912
17 "STANDING" -0.644675070329398 0.00986576722217889
17 "LAYING" -0.629876420657766 0.0153347608484514
18 "WALKING" -0.436306077297177 0.00510296878927497
18 "WALKING_UPSTAIRS" -0.470681472754459 0.00737516017712153
18 "WALKING_DOWNSTAIRS" -0.438663811185222 0.00715392251407396
18 "SITTING" -0.650240242162375 0.00811559304148008
18 "STANDING" -0.645518459042212 0.00962157788779868
18 "LAYING" -0.645039855011435 0.00948298624509435
19 "WALKING" -0.238252786596887 0.0112543471851854
19 "WALKING_UPSTAIRS" -0.316821118319495 0.0116982949985049
19 "WALKING_DOWNSTAIRS" -0.078306398113335 0.0307255700478561
19 "SITTING" -0.638986666530727 0.014033357685817
19 "STANDING" -0.640136697217531 0.0108618552892722
19 "LAYING" -0.632999218754884 0.0132874054610815
20 "WALKING" -0.259518117088663 0.014349400212431
20 "WALKING_UPSTAIRS" -0.338291941451443 0.00785682695812905
20 "WALKING_DOWNSTAIRS" -0.247169665420288 0.0112460846842043
20 "SITTING" -0.639872725383092 0.0099311483924659
20 "STANDING" -0.620027732157146 0.0117071496249043
20 "LAYING" -0.644397438696908 0.0125086218827964
21 "WALKING" -0.330648706245588 0.00772823571737818
21 "WALKING_UPSTAIRS" -0.381967006088137 0.00689400508151837
21 "WALKING_DOWNSTAIRS" -0.291301975673511 0.00919010532443101
21 "SITTING" -0.644724493205524 0.0106067988665934
21 "STANDING" -0.638450214241584 0.0116009708775171
21 "LAYING" -0.63110876443376 0.0160434395183421
22 "WALKING" -0.274200987116311 0.0108337317193043
22 "WALKING_UPSTAIRS" -0.305185521541175 0.0072481941860537
22 "WALKING_DOWNSTAIRS" -0.287664837258693 0.00645881848793591
22 "SITTING" -0.634015600138589 0.0130203743671153
22 "STANDING" -0.635992094486953 0.0081947476846571
22 "LAYING" -0.632109081483277 0.0108639943311474
23 "WALKING" -0.265296718829829 0.0124679805915028
23 "WALKING_UPSTAIRS" -0.369581312588007 0.00854166312380122
23 "WALKING_DOWNSTAIRS" -0.20246554081645 0.0193992716253246
23 "SITTING" -0.632843540612456 0.0146626759274174
23 "STANDING" -0.637024168810267 0.00900690061949228
23 "LAYING" -0.628089473591726 0.0086569711549091
24 "WALKING" -0.416975175176002 0.00738932582491377
24 "WALKING_UPSTAIRS" -0.43583828688532 0.00664217125196702
24 "WALKING_DOWNSTAIRS" -0.359085991984149 0.0078245718417578
24 "SITTING" -0.646619496620551 0.00952298096531042
24 "STANDING" -0.634194893841734 0.0125886342297526
24 "LAYING" -0.634203387560794 0.00905042581758646
25 "WALKING" -0.460842122215599 0.00450635385493924
25 "WALKING_UPSTAIRS" -0.48551223324769 0.00651708497979814
25 "WALKING_DOWNSTAIRS" -0.429924410531157 0.00738520620497
25 "SITTING" -0.645307467575153 0.0079321428921885
25 "STANDING" -0.645297950751058 0.00825518771902706
25 "LAYING" -0.589506698496036 0.0180489231125348
26 "WALKING" -0.392008755561813 0.00659690484419026
26 "WALKING_UPSTAIRS" -0.41167278243368 0.00677359140731022
26 "WALKING_DOWNSTAIRS" -0.322473123490661 0.00739772338817376
26 "SITTING" -0.642718508921569 0.0115670823459759
26 "STANDING" -0.644004547265191 0.0127567709986858
26 "LAYING" -0.640679888089531 0.00836831585382291
27 "WALKING" -0.377771272094104 0.0064671566230772
27 "WALKING_UPSTAIRS" -0.426267052017458 0.00950520858439385
27 "WALKING_DOWNSTAIRS" -0.312446129792811 0.0107852389294913
27 "SITTING" -0.647329814034974 0.0111145662771653
27 "STANDING" -0.644356212162637 0.00985379744912532
27 "LAYING" -0.645993647892745 0.00882626433212856
28 "WALKING" -0.393787255237739 0.00803856358264725
28 "WALKING_UPSTAIRS" -0.401092965937606 0.0084396522283789
28 "WALKING_DOWNSTAIRS" -0.291650876955502 0.00977456138682997
28 "SITTING" -0.637322526513564 0.00873931814915885
28 "STANDING" -0.627883524309929 0.0102183256322044
28 "LAYING" -0.640518710327799 0.0131413630264341
29 "WALKING" -0.352894943404783 0.00484836134493906
29 "WALKING_UPSTAIRS" -0.364429747315138 0.00659743976103536
29 "WALKING_DOWNSTAIRS" -0.31726279115201 0.00727597691429444
29 "SITTING" -0.644100724926612 0.0100014316307581
29 "STANDING" -0.650245278868483 0.00882955172613533
29 "LAYING" -0.646324698842316 0.00824375882734487
30 "WALKING" -0.373607524126774 0.00873145822797097
30 "WALKING_UPSTAIRS" -0.439370730188029 0.00825310628180675
30 "WALKING_DOWNSTAIRS" -0.358790607945901 0.00668040433139287
30 "SITTING" -0.646017901904583 0.0122174018742047
30 "STANDING" -0.630635453342216 0.00900201768253416
30 "LAYING" -0.642625296795821 0.0135615014111398
